Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:08:11	329	585	3	0	0	0	0	7.5	0	0	0	3.5	0	0	0	4	0	0	0	3.75	0	1.431		21.8301	423.135	0.439501	0	20.1328	0.266621	1770.97	1		0.0708984	12.0793	49.733	0	54.7665	-1.57021	
2026-08-14 12:08:11	329	586	4	0	0	0	0	7.5	0	0	0	4	0	0	0	4.5	0	0	0	4	0	1.366		21.8301	423.135	0.492245	0	22.5489	0.282648	1879.11	1		0.0708984	12.0793	49.733	0	54.7665	-1.57021	
2026-08-14 12:08:17	330	587	1	0	0	0	0	7.5	0	0	0	4.5	0	0	0	5	0	0	0	4.25	0	1.19		21.7113	420.692	0.603974	0	27.8185	0.145663	1966.37	1		0.0708984	12.0705	49.733	0	54.7665	-1.57021	
2026-08-14 12:08:28	332	588	4	0	0.5	0	0	7.5	0.5	0	0	2	0.5	0	0	2.5	0.5	0	0	3	0.5	0.951		27.6678	329.815	0.612468	0	22.1365	0.204239	1176.89	1		0.0708984	12.1236	49.6031	0	54.7665	-1.57021	
2026-08-14 12:11:05	358	589	1	7	0	0	0	7	1.5	0	0	7	0.5	0	0	7	1	0	0	7	0.75	0.259		26.6412	345.599	11.0106	0	413.292	0.322176	1298.39	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57017	
2026-08-14 12:09:07	338	590	1	0	1	0	0	7.5	1	0	0	4.5	1	0	0	5	1	0	0	4.25	1	1.19		24.6927	370.706	0.530656	0	21.4904	0.120903	1519.07	1		0.0708984	12.1148	49.3432	0	54.7665	-1.57021	
2026-08-14 12:13:45	386	591	1	2	0	0	0	2.5	0	0	0	0	0	0	0	7.5	0	0	0	3	0	0.951		37.4245	244.183	1.04486	0	27.9191	4.95534	1484.33	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57018	
2026-08-14 12:09:00	337	592	2	0	1	0	0	7.5	1	0	0	3	1	0	0	3.5	1	0	0	3.5	1	1.366		24.6947	371.431	0.399941	0	16.1954	0.0674521	1349.65	1		0.0708984	12.1148	49.4731	0	54.7665	-1.57021	
2026-08-14 12:09:14	339	593	1	0	1	0	0	7.5	1	0	0	6.5	1	0	0	7	1	0	0	5.25	1	0.262		24.6952	370.693	4.70981	0	190.718	0.296844	1185.29	1		0.0708984	12.1148	49.2132	0	54.7665	-1.57021	
2026-08-14 12:13:22	382	594	1	4.5	1.5	0	0	6	0	0	0	5	1	0	0	5.5	0.5	0	0	5.25	0.75	0.367		36.1035	253.796	12.4321	0	344.345	0.309776	1529.88	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57018	
