Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:16:55	412	702	1	0	0	0	0	7.5	0	0	0	4.5	0	0	0	5	0	0	0	4.25	0	1.19		21.6506	421.078	0.601062	0	27.7619	0.222805	1962.37	1		0.0708984	12.0616	48.8234	0	54.7664	-1.57019	
2026-08-14 12:17:06	414	703	2	0	0.5	0	0	7.5	0.5	0	0	1	0.5	0	0	1.5	0.5	0	0	2.5	0.5	0.478		27.72	328.848	2.01791	0	72.7962	0.322672	1321.35	1		0.0708984	12.1236	48.8234	0	54.7664	-1.57019	
2026-08-14 12:16:50	411	704	4	0	0	0	0	7.5	0	0	0	4	0	0	0	4.5	0	0	0	4	0	1.366		21.7056	422.272	0.490524	0	22.5989	0.184969	1883.28	1		0.0708984	12.0705	48.9533	0	54.7664	-1.57019	
2026-08-14 12:20:19	447	705	1	2.5	0.5	0	0	3	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	3.25	0.5	1.19		36.7036	249.391	0.832546	0	22.683	0.368516	1603.36	1		0.0797607	12.1148	48.1737	0	54.7664	-1.57019	
2026-08-14 12:16:50	411	706	3	0	0	0	0	7.5	0	0	0	3.5	0	0	0	4	0	0	0	3.75	0	1.431		21.7056	422.272	0.436298	0	20.1006	0.252066	1768.15	1		0.0708984	12.0705	48.9533	0	54.7664	-1.57019	
2026-08-14 12:19:39	440	707	1	7	0	0	0	7	1.5	0	0	7	0.5	0	0	7	1	0	0	7	0.75	0.259		26.5771	345.697	10.8971	0	410.019	0.308569	1288.11	1		0.0797607	12.1148	48.1737	0	54.7664	-1.57017	
2026-08-14 12:17:30	418	708	4	0	1	0	0	7.5	1	0	0	2	1	0	0	2.5	1	0	0	3	1	0.951		24.5073	373.988	0.55146	0	22.5019	0.313018	1196.32	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57019	
2026-08-14 12:21:10	456	709	1	6.5	1.5	0	0	7	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	5.25	1.5	0.262		28.2568	323.883	3.49626	0	123.732	0.27276	768.978	1		0.0708984	12.1148	48.0437	0	54.7664	-1.57017	
2026-08-14 12:16:50	411	710	2	0	0	0	0	7.5	0	0	0	3	0	0	0	3.5	0	0	0	3.5	0	1.366		21.7056	422.272	0.470844	0	21.6922	0.209741	1807.72	1		0.0708984	12.0705	48.9533	0	54.7664	-1.57019	
2026-08-14 12:17:44	420	711	3	0	1	0	0	7.5	1	0	0	5.5	1	0	0	6	1	0	0	4.75	1	0.706		24.507	373.155	0.947502	0	38.6625	0.1257	1336.08	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57018	
